"periode","demande brute","demande nette"
1084,66497.000,66497.000
1085,64823.000,64823.000
1086,66123.000,66123.000
1087,70359.500,70359.500
1088,75976.000,75976.000
1089,78824.500,78824.500
1090,80175.000,80175.000
1091,79700.500,79700.500
1092,78863.000,78863.000
1093,79223.000,79223.000
1094,78067.500,78067.500
1095,75511.000,75511.000
1096,72717.000,72717.000
1097,71193.500,71193.500
1098,70612.500,70612.500
1099,73561.500,73561.500
1100,77966.000,77966.000
1101,74409.000,74409.000
1102,69814.500,69814.500
1103,67358.500,67358.500
1104,68843.000,68843.000
1105,67586.500,67586.500
1106,64709.000,64709.000
1107,64274.000,64274.000
1108,61970.500,61970.500
1109,60738.000,60738.000
1110,61647.000,61647.000
1111,65821.000,65821.000
1112,71805.500,71805.500
1113,74478.500,74478.500
1114,75196.500,75196.500
1115,74207.500,74207.500
1116,73333.500,73333.500
1117,73814.500,73814.500
1118,72480.000,72480.000
1119,70034.000,70034.000
1120,67723.500,67723.500
1121,66539.000,66539.000
1122,66012.500,66012.500
1123,68626.000,68626.000
1124,73075.000,73075.000
1125,70192.500,70192.500
1126,65958.000,65958.000
1127,63634.000,63634.000
1128,65044.500,65044.500
1129,63911.500,63911.500
1130,60966.500,60966.500
1131,60599.000,60599.000
1132,58243.500,58243.500
1133,56666.500,56666.500
1134,57745.500,57745.500
1135,61823.500,61823.500
1136,67185.000,67185.000
1137,70112.000,70112.000
1138,71035.000,71035.000
1139,70001.000,70001.000
1140,68918.500,68918.500
1141,68876.500,68876.500
1142,67265.500,67265.500
1143,64647.500,64647.500
1144,61810.500,61810.500
1145,60223.000,60223.000
1146,59854.500,59854.500
1147,63291.000,63291.000
1148,69174.000,69174.000
1149,66708.500,66708.500
1150,62939.000,62939.000
1151,60967.000,60967.000
1152,62969.500,62969.500
1153,62305.000,62305.000
1154,59607.000,59607.000
1155,59084.500,59084.500
1156,56898.500,56898.500
1157,55617.500,55617.500
1158,56861.500,56861.500
1159,60901.000,60901.000
1160,66175.500,66175.500
1161,68667.500,68667.500
1162,69687.000,69687.000
1163,69664.000,69664.000
1164,69537.000,69537.000
1165,70232.500,70232.500
