Date;Heure;RES11 (+ RES11WE);RES2 (+ RES5);RES2WE;RES3;RES4
07/01/2021;2;629.8583637;1327.270485;1424.094802;677.3053442;891.0463728
07/01/2021;3;630.1299868;1203.42361;1285.181586;642.4988975;741.4483158
07/01/2021;4;643.3515058;1139.36519;1205.548672;626.8208932;646.17887
07/01/2021;5;670.3580836;1154.48908;1251.747311;640.5524614;611.4969844
07/01/2021;6;741.5281533;1243.688395;1377.68604;567.2902927;623.315783
07/01/2021;7;839.6058046;1276.312106;1496.638962;601.9309996;373.6598075
07/01/2021;8;886.243351;1239.095908;1449.548839;605.6477193;381.3982072
07/01/2021;9;892.0317445;1215.704073;1407.264165;590.9847361;373.8118142
07/01/2021;10;879.1876201;1192.43497;1373.348778;567.8796771;361.3964093
07/01/2021;11;878.4049652;1180.216313;1324.046337;563.0500082;358.9632841
07/01/2021;12;886.2053073;1293.468127;1440.030793;567.095907;366.3627574
07/01/2021;13;823.0457266;1266.328731;1422.120168;523.6875524;341.1012457
07/01/2021;14;780.2590535;1177.313543;1357.336591;494.3594464;318.9671118
07/01/2021;15;763.0996505;1147.025499;1268.418559;492.0347158;315.6038667
07/01/2021;16;773.6298634;1137.052809;1274.490349;508.7655221;324.1042044
07/01/2021;17;847.3056051;1205.556272;1374.640542;562.52342;353.4507688
07/01/2021;18;959.6689419;1325.088969;1515.685446;632.3257847;397.8156125
07/01/2021;19;1028.205103;1395.365348;1561.61897;675.6903567;418.0322468
07/01/2021;20;985.9872888;1331.673897;1507.56028;645.2862035;403.4483045
07/01/2021;21;897.387741;1299.683159;1455.88479;602.093074;372.0910031
07/01/2021;22;804.2596772;1370.745518;1530.459288;1319.370099;339.3000236
07/01/2021;23;721.814572;1489.133449;1606.295831;1139.115576;314.4057723
08/01/2021;0;679.6289272;1441.054244;1460.170119;912.597775;310.2197395
08/01/2021;1;653.9205518;1401.478631;1449.913715;766.6732201;994.8904669
08/01/2021;2;650.8163604;1355.702257;1406.319775;682.9948839;906.3977108
08/01/2021;3;652.0586689;1240.03698;1265.46075;649.734495;755.2500909
08/01/2021;4;668.7048667;1180.733488;1209.875249;641.3097379;665.3289578
08/01/2021;5;700.7215608;1202.65049;1255.428367;658.3345118;630.3107436
08/01/2021;6;763.3695815;1285.335434;1375.280623;585.1877918;637.9324781
08/01/2021;7;864.3679011;1324.84477;1470.517162;621.282557;380.0009659
08/01/2021;8;912.1297777;1286.621165;1431.817364;620.6831097;389.2300116
08/01/2021;9;920.8020383;1266.480968;1384.858805;604.0651211;377.4738517
08/01/2021;10;897.7223054;1227.615982;1348.085808;575.0359081;367.8365432
08/01/2021;11;891.9208288;1214.118576;1298.36481;566.9381759;361.0797934
08/01/2021;12;893.3839653;1319.74683;1391.245105;570.0986853;366.8544409
08/01/2021;13;837.3115313;1289.664073;1383.83184;524.3352679;342.4619034
08/01/2021;14;791.8094906;1189.145148;1295.597854;493.1111602;320.6057354
08/01/2021;15;767.3690951;1156.77607;1218.237473;486.7781209;310.5597654
08/01/2021;16;790.6389615;1146.002812;1212.207353;508.0772634;324.512417
08/01/2021;17;860.6010766;1211.716632;1296.027799;564.3140797;357.6799976
08/01/2021;18;959.9740818;1329.318232;1397.46904;630.4358459;401.5382863
08/01/2021;19;1022.57707;1394.516388;1463.635387;670.6438145;422.1233675
08/01/2021;20;983.6870214;1358.029994;1416.674499;653.3291455;405.8485484
08/01/2021;21;904.8870492;1334.19669;1386.59704;615.5836181;375.6543826
08/01/2021;22;822.4397821;1402.433385;1483.150359;1319.679151;346.3416549
08/01/2021;23;745.8990879;1522.81728;1589.494004;1141.0735;317.7523039
09/01/2021;0;703.9342811;1470.742875;2236.625756;916.7168322;315.545291
09/01/2021;1;681.0194969;1425.708986;1487.210747;777.0528871;1002.508807
09/01/2021;2;678.4353496;1388.494002;1079.712366;698.522359;907.275005
09/01/2021;3;679.4212844;1267.922111;1070.040762;661.2434326;755.2209272
09/01/2021;4;692.959524;1207.500246;1218.783151;652.875825;673.2826425
09/01/2021;5;711.358106;1208.554453;1308.197889;664.0303339;635.1697322
09/01/2021;6;748.3623193;1245.342202;1400.99872;693.6650269;642.921496
